model,brand,company,year,price,engine,horsepower,fuelcons,clearance,trunk,body,country,quantity,body1,body2,body3,body4,russia,price_adj,tariff,comp_id,share,sumshare,logshare,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,engine_yr,engine_fm,engine_iv,horsepower_yr,horsepower_fm,horsepower_iv,fuelcons_yr,fuelcons_fm,fuelcons_iv,clearance_yr,clearance_fm,clearance_iv,trunk_yr,trunk_fm,trunk_iv,brand_id,delta0,el,id,tilde_share,tilde_price,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10,share11,share12,share13,share14,share15,share16,share17,share18,share19,share20,share21,share22,share23,share24,share25,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,delta14,delta15,delta16,delta17,delta18,delta19,delta20,delta21,delta22,delta23,delta24,delta25,markup,mc,margins,counter_tariff
Polo,Volkswagen,Volkswagen AG,2013,525000,1.2,60,5.5,2,280,hatchback,Germany,72565,0,1,0,0,0,525000,.25,11,.0072565,.1418948,-4.7728291,0,0,0,0,0,0,0,0,1,39.799999,1.3999999,36,2497,80,2297,182.5,7,164.5,3703,164,3535,11003,560,9883,16,-6.4222393,1.68476,25,.0058052,420000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.5420670e-11,2.3286592e-08,250103.7,169896.3,.47638801,.30000001
Focus,Ford,Ford Motor Company,2014,660000,1.6,105,5.9,150,277,hatchback,Russia,27860,0,1,0,0,1,612244.88,0,1,.002786,.1278999,-5.7462974,1,0,0,0,0,0,0,0,0,40.799999,2.3841858e-08,37.599998,2721,0,2511,180.7,9.5367433e-08,168.89999,4049,0,3749,11403,0,10849,4,-5.0150881,2.1275218,1,.002786,660000,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,8.9807202e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310220.13,349779.88,.47003049,0
Cruze,Chevrolet,General Motors,2014,913000,1.6,109,7.3,140,450,sedan,Russia,29640,0,0,1,0,1,846938.75,0,2,.002964,.1278999,-5.6843643,0,1,0,0,0,0,0,0,0,40.799999,1.6999999,35.899998,2721,80,2423,180.7,10.8,155.3,4049,200,3569,11403,320,10183,1,-5.6113567,2.9425464,2,.002964,913000,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,9.5528012e-09,-4.1621689e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311633.28,601366.75,.34132889,0
Niva,Chevrolet,General Motors,2014,519000,1.7,80,10.8,200,320,SUV,Russia,43441,1,0,0,0,1,481447.13,0,2,.0043441001,.1278999,-5.3020854,0,1,0,0,0,0,0,0,0,40.799999,1.5999999,35.799999,2721,109,2452,180.7,7.3000002,151.8,4049,140,3509,11403,450,10313,1,-5.4813461,1.6703917,3,.0043441001,519000,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,-4.1621689e-11,1.3981404e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311633.28,207366.72,.6004495,0
Solaris,Hyundai,Hyundai Motor,2014,593900,1.4,107,5.9,160,470,sedan,Russia,114644,0,0,1,0,1,550927.63,0,4,.0114644,.1278999,-4.3316574,0,0,1,0,0,0,0,0,0,40.799999,6.7999997,31.199999,2721,506,2001,180.7,29.1,139.8,4049,552,3177,11403,2035,8428,5,-4.8314104,1.8977864,4,.0114644,593900,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,3.6634084e-08,-1.2901701e-10,-1.1028001e-10,-3.4704958e-10,-1.1342260e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318430.38,275469.63,.53616834,0
ix35,Hyundai,Hyundai Motor,2014,1079900,2,149,8.6,75,591,SUV,Slovakia,34814,1,0,0,0,0,1001762.5,.25,4,.0034814,.1278999,-5.5234699,0,0,1,0,0,0,0,0,0,40.799999,6.1999998,30.599998,2721,464,1959,180.7,26.4,137.09999,4049,637,3262,11403,1914,8307,5,-5.6850414,3.4786491,5,.0027851199,863920,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,-1.2901701e-10,1.1214528e-08,-3.3488781e-11,-1.0538871e-10,-3.4443098e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256559.2,607360.81,.23757681,.30000001
Cee'd,Kia,Hyundai Motor,2014,609900,1.4,100,6.1,150,380,hatchback,?,29758,0,1,0,0,0,565769.94,.25,4,.0029758001,.1278999,-5.6803913,0,0,1,0,0,0,0,0,0,40.799999,6.7999997,31.199999,2721,513,2008,180.7,28.9,139.59999,4049,562,3187,11403,2125,8518,6,-5.4690776,1.9656492,6,.00238064,487920,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,-1.1028001e-10,-3.3488781e-11,9.5907184e-09,-9.0083226e-11,-2.9440964e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256559.19,231360.81,.42065778,.30000001
Rio,Kia,Hyundai Motor,2014,514900,1.4,107,5.9,160,500,sedan,Russia,93648,0,0,1,0,1,477643.78,0,4,.0093647996,.1278999,-4.533946,0,0,1,0,0,0,0,0,0,40.799999,6.7999997,31.199999,2721,506,2001,180.7,29.1,139.8,4049,552,3177,11403,2005,8398,6,-4.5308547,1.6488394,7,.0093647996,514900,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,-3.4704958e-10,-1.0538871e-10,-9.0083226e-11,2.9988446e-08,-9.2650283e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318430.34,196469.66,.61843145,0
Sportage,Kia,Hyundai Motor,2014,874900,2,150,8.5,167,564,SUV,?,30606,1,0,0,0,0,811595.56,.25,4,.0030606,.1278999,-5.6522932,0,0,1,0,0,0,0,0,0,40.799999,6.1999998,30.599998,2721,463,1958,180.7,26.5,137.2,4049,545,3170,11403,1941,8334,6,-4.9351091,2.819479,8,.0024484801,699920,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,-1.1342260e-10,-3.4443098e-11,-2.9440964e-11,-9.2650283e-11,9.8631814e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256559.2,443360.81,.29324403,.30000001
Cx-5,Mazda,Mazda Motor Corporation,2014,1046000,2,150,6.2,215,403,SUV,?,24953,1,0,0,0,0,970315.38,.25,5,.0024953,.1278999,-5.8564954,0,0,0,1,0,0,0,0,0,40.799999,0,36.799999,2721,0,2421,180.7,-1.9073487e-07,168.3,4049,0,3619,11403,0,10597,8,-5.4911299,3.3727825,9,.0019962401,836800,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,8.0459888e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248103.77,588696.25,.2371929,.30000001
Outlander,Mitsubishi,Mitshubishi Group,2014,999000,2,146,7.5,215,591,SUV,?,28969,1,0,0,0,0,926716.13,.25,6,.0028969001,.1278999,-5.707263,0,0,0,0,1,0,0,0,0,40.799999,0,36.799999,2721,0,2429,180.7,0,165.7,4049,0,3619,11403,0,10221,9,-5.5594664,3.2199359,10,.0023175201,799200,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,9.3371701e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248203.69,550996.31,.24845214,.30000001
4x4,Lada,Renault Group,2014,394500,1.7,83,9.9,205,265,SUV,Russia,42932,1,0,0,0,1,365955.47,0,7,.0042932001,.1278999,-5.3138719,0,0,0,0,0,1,0,0,0,40.799999,13.5,23.9,2721,827,1728,180.7,63.699997,97.199997,4049,1480,2159,11403,4100,6773,7,-5.4896865,1.2697557,11,.0042932001,394500,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,1.3818290e-08,-2.1206774e-10,-9.1051312e-11,-9.0422649e-11,-6.6361194e-11,-6.4150456e-11,-4.4006725e-11,-1.0566333e-10,-8.3869522e-11,-5.1138562e-11,0,0,0,0,0,329794.25,64705.75,.83598036,0
Granta,Lada,Renault Group,2014,289000,1.6,82,7.4,160,520,sedan,Russia,152810,0,0,1,0,1,268089.06,0,7,.015281,.1278999,-4.0442939,0,0,0,0,0,1,0,0,0,40.799999,13.599999,24,2721,828,1729,180.7,66.199997,99.699997,4049,1525,2204,11403,3845,6518,7,-4.7846932,.91992378,12,.015281,289000,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-2.1206774e-10,4.8641368e-08,-3.2408345e-10,-3.2184583e-10,-2.3620270e-10,-2.2833389e-10,-1.5663532e-10,-3.7609271e-10,-2.9852096e-10,-1.8202002e-10,0,0,0,0,0,329794.25,-40794.25,1.1411566,0
Kalina,Lada,Renault Group,2014,355600,1.6,87,7,145,355,universal,Russia,65609,0,0,0,1,1,329870.13,0,7,.0065608998,.1278999,-4.8897762,0,0,0,0,0,1,0,0,0,40.799999,13.599999,24,2721,823,1724,180.7,66.599998,100.1,4049,1540,2219,11403,4010,6683,7,-5.1041441,1.1419437,13,.0065608998,355600,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-9.1051312e-11,-3.2408345e-10,2.1069118e-08,-1.3818455e-10,-1.0141367e-10,-9.8035191e-11,-6.7251399e-11,-1.6147547e-10,-1.2817002e-10,-7.8150326e-11,0,0,0,0,0,329794.22,25805.781,.92743033,0
Largus,Lada,Renault Group,2014,444000,1.6,84,8.199999999999999,145,560,universal,Russia,65156,0,0,0,1,1,411873.84,0,7,.0065155998,.1278999,-4.8967052,0,0,0,0,0,1,0,0,0,40.799999,13.599999,24,2721,826,1727,180.7,65.400002,98.900002,4049,1540,2219,11403,3805,6478,7,-5.1611876,1.425889,14,.0065155998,444000,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-9.0422649e-11,-3.2184583e-10,-1.3818455e-10,2.0924599e-08,-1.0071345e-10,-9.7358302e-11,-6.6787062e-11,-1.6036056e-10,-1.2728506e-10,-7.7610737e-11,0,0,0,0,0,329794.25,114205.75,.74277985,0
Priora,Lada,Renault Group,2014,449000,1.6,98,6.9,165,430,sedan,Russia,47818,0,0,1,0,1,416512.06,0,7,.0047817999,.1278999,-5.2060871,0,0,0,0,0,1,0,0,0,40.799999,13.599999,24,2721,812,1713,180.7,66.699997,100.2,4049,1520,2199,11403,3935,6608,7,-4.9070773,1.4444627,15,.0047817999,449000,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-6.6361194e-11,-2.3620270e-10,-1.0141367e-10,-1.0071345e-10,1.5383366e-08,-7.1451275e-11,-4.9015035e-11,-1.1768864e-10,-9.3414526e-11,-5.6958532e-11,0,0,0,0,0,329794.25,119205.75,.73450834,0
Almera,Nissan,Renault Group,2014,626000,1.6,102,7.2,160,500,sedan,Russia,46225,0,0,1,0,1,580705,0,7,.0046224999,.1278999,-5.2399688,0,0,0,0,0,1,0,0,0,40.799999,13.599999,24,2721,808,1709,180.7,66.400002,99.900002,4049,1525,2204,11403,3865,6538,10,-5.2406735,2.0142057,16,.0046224999,626000,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-6.4150456e-11,-2.2833389e-10,-9.8035191e-11,-9.7358302e-11,-7.1451275e-11,1.4873269e-08,-4.7382157e-11,-1.1376798e-10,-9.0302536e-11,-5.5061025e-11,0,0,0,0,0,329794.25,296205.75,.52682787,0
Qashqai,Nissan,Renault Group,2014,989000,1.2,115,6.2,190,430,SUV,GB,31710,1,0,0,0,0,917439.69,.25,7,.0031709999,.1278999,-5.6168571,0,0,0,0,0,1,0,0,0,40.799999,14,24.4,2721,795,1696,180.7,67.400002,100.9,4049,1495,2174,11403,3935,6608,10,-5.8736191,3.1868281,17,.0025368,791200,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-4.4006725e-11,-1.5663532e-10,-6.7251399e-11,-6.6787062e-11,-4.9015035e-11,-4.7382157e-11,1.0217827e-08,-7.8043974e-11,-6.1946857e-11,-3.7771446e-11,0,0,0,0,0,267923.09,523276.91,.27090302,.30000001
Duster,Renault,Renault Group,2014,584000,1.6,102,7.6,205,475,SUV,Russia,76138,1,0,0,0,1,541744,0,7,.0076138,.1278999,-4.740942,0,0,0,0,0,1,0,0,0,40.799999,13.599999,24,2721,808,1709,180.7,66,99.5,4049,1480,2159,11403,3890,6563,12,-5.0888271,1.8734204,18,.0076138,584000,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-1.0566333e-10,-3.7609271e-10,-1.6147547e-10,-1.6036056e-10,-1.1768864e-10,-1.1376798e-10,-7.8043974e-11,2.4424399e-08,-1.4873888e-10,-9.0691975e-11,0,0,0,0,0,329794.22,254205.78,.5647161,0
Logan,Renault,Renault Group,2014,534000,1.6,82,7.2,155,510,sedan,Russia,60434,0,0,1,0,1,495361.78,0,7,.0060434001,.1278999,-4.9719377,0,0,0,0,0,1,0,0,0,40.799999,13.599999,24,2721,828,1729,180.7,66.400002,99.900002,4049,1530,2209,11403,3855,6528,12,-5.6002817,1.7157356,19,.0060434001,534000,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-8.3869522e-11,-2.9852096e-10,-1.2817002e-10,-1.2728506e-10,-9.3414526e-11,-9.0302536e-11,-6.1946857e-11,-1.4873888e-10,1.9417373e-08,-7.1986118e-11,0,0,0,0,0,329794.25,204205.75,.61759222,0
Sandero,Renault,Renault Group,2014,419000,1.1,75,6,155,320,hatchback,Russia,36849,0,1,0,0,1,388682.75,0,7,.0036849,.1278999,-5.466661,0,0,0,0,0,1,0,0,0,40.799999,14.099999,24.5,2721,835,1736,180.7,67.599998,101.1,4049,1530,2209,11403,4045,6718,12,-5.2586203,1.3494364,20,.0036849,419000,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-5.1138562e-11,-1.8202002e-10,-7.8150326e-11,-7.7610737e-11,-5.6958532e-11,-5.5061025e-11,-3.7771446e-11,-9.0691975e-11,-7.1986118e-11,1.1867633e-08,0,0,0,0,0,329794.25,89205.75,.78709847,0
Camry,Toyota,Toyota Group,2014,969000,2,148,8.300000000000001,160,506,sedan,Russia,34117,0,0,1,0,1,898886.81,0,9,.0034117,.1278999,-5.5436935,0,0,0,0,0,0,1,0,0,40.799999,3.3000002,33.5,2721,245,2180,180.7,13.3,150.8,4049,347,3382,11403,958,9433,14,-4.6267867,3.1216288,21,.0034117,969000,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0990775e-08,-3.0553081e-11,-4.2921430e-11,0,0,312087.63,656912.38,.32207185,0
Corolla,Toyota,Toyota Group,2014,891000,1.3,99,5.6,150,452,sedan,Turkey,27704,0,0,1,0,0,826530.63,.25,9,.0027703999,.1278999,-5.7519126,0,0,0,0,0,0,1,0,0,40.799999,4,34.200001,2721,294,2229,180.7,16,153.5,4049,357,3392,11403,1012,9487,14,-5.6417255,2.8721991,22,.00221632,712800,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0553081e-11,8.9305727e-09,-3.4853453e-11,0,0,250216.45,462583.56,.28082654,.30000001
Rav 4,Toyota,Toyota Group,2014,1288000,2,146,7.7,197,506,SUV,Japan,38919,1,0,0,0,0,1194805.3,.25,9,.0038918999,.1278999,-5.4120069,0,0,0,0,0,0,1,0,0,40.799999,3.3000002,33.5,2721,247,2182,180.7,13.900001,151.39999,4049,310,3345,11403,958,9433,14,-5.9057765,4.1472864,23,.0031135199,1030400,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.2921430e-11,-3.4853453e-11,1.2531695e-08,0,0,250216.44,780183.56,.19426742,.30000001
Octavia a7,Skoda,Volkswagen AG,2014,816000,1.6,110,6.4,155,568,hatchback,Russia,35292,0,1,0,0,1,756957.31,0,11,.0035292001,.1278999,-5.5098329,0,0,0,0,0,0,0,0,1,40.799999,1.6,36,2721,105,2396,180.7,6.4000001,161.5,4049,70,3669,11403,460,9807,13,-5.2846918,2.6284301,24,.0035292001,816000,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1367960e-08,-6.7254889e-11,312299.09,503700.91,.38271949,0
Polo,Volkswagen,Volkswagen AG,2014,610500,1.6,105,6.4,70,460,sedan,Russia,58953,0,0,1,0,1,566326.5,0,11,.0058952998,.1278999,-4.9967489,0,0,0,0,0,0,0,0,1,40.799999,1.6,36,2721,110,2401,180.7,6.4000001,161.5,4049,155,3754,11403,568,9915,16,-5.0387173,1.9618214,25,.0058952998,610500,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.7254889e-11,1.8944350e-08,312299.09,298200.91,.51154643,0
